Login,Password,Nombre,Apellido1,Apellido2,Descripcion,Departamento
OGARCIA,r7d-2h_N.eoV,OLGA,GARCIA,ORTEGA,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
HVALENC,r7d-2h_N.eoV,HUGO,VALENCIA,SANCHEZ,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
TFERNAN,r7d-2h_N.eoV,TOMAS,FERNANDEZ,MARTINEZ,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
JWONG,r7d-2h_N.eoV,JORGE,WONG,MARTINEZ,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
FYANEZ,r7d-2h_N.eoV,FELIPE,YANEZ,QUINTANA,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
KIGLESI,r7d-2h_N.eoV,KARLA,IGLESIAS,GARCIA,Usuario del departamento Alumnado_ESOBAT,AlumnadoESOBAT
MNUNEZ,r7d-2h_N.eoV,MARTA,NUNEZ,LOPEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
JRAMIRE,r7d-2h_N.eoV,JUANA,RAMIREZ,RAMIREZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
AXAVIER,r7d-2h_N.eoV,ADRIAN,XAVIER,YANEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
IZAPATA,r7d-2h_N.eoV,IGNACIO,ZAPATA,IGLESIAS,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
TNUNEZ,r7d-2h_N.eoV,TOMAS,NUNEZ,MARTINEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
LWONG,r7d-2h_N.eoV,LUIS,WONG,ALVAREZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
ZNUNEZ,r7d-2h_N.eoV,ZORRO,NUNEZ,ESTEBAN,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
GYANEZ,r7d-2h_N.eoV,GUSTAVO,YANEZ,MARTINEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
PSANCHE,r7d-2h_N.eoV,PABLO,SANCHEZ,WONG,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
WLOPEZ,r7d-2h_N.eoV,WALTER,LOPEZ,ESTEBAN,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
CESTEBA,r7d-2h_N.eoV,CARLA,ESTEBAN,WONG,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
FMARTIN,r7d-2h_N.eoV,FELIPE,MARTINEZ,JIMENEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
GDIAZ,r7d-2h_N.eoV,GLORIA,DIAZ,RAMIREZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
JHERRER,r7d-2h_N.eoV,JULIA,HERRERA,JIMENEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
LMARTIN,r7d-2h_N.eoV,LEON,MARTINEZ,BERMEJO,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
CIGLESI,r7d-2h_N.eoV,CESAR,IGLESIAS,JIMENEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
NORTEGA,r7d-2h_N.eoV,NICO,ORTEGA,HERRERA,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
TDIAZ,r7d-2h_N.eoV,TOMAS,DIAZ,SANCHEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
UDIAZ,r7d-2h_N.eoV,URSULA,DIAZ,TORRES,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
WJIMENE,r7d-2h_N.eoV,WALTER,JIMENEZ,ZAPATA,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
FESTEBA,r7d-2h_N.eoV,FABIOLA,ESTEBAN,RAMIREZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
JJIMENE,r7d-2h_N.eoV,JULIA,JIMENEZ,GARCIA,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
ABERMEJ,r7d-2h_N.eoV,ADRIAN,BERMEJO,NUNEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
OVALENC,r7d-2h_N.eoV,OLGA,VALENCIA,MARTINEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
FZAPATA,r7d-2h_N.eoV,FABIOLA,ZAPATA,MARTINEZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
AHERRER,r7d-2h_N.eoV,ALBA,HERRERA,VALENCIA,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
UFERNAN,r7d-2h_N.eoV,URSULA,FERNANDEZ,DIAZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
JSANCHE,r7d-2h_N.eoV,JULIA,SANCHEZ,RAMIREZ,Usuario del departamento Alumnado_Ciclos,AlumnadoCiclos
