Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer
EUSEBIO*UNOS FLAN*UNOS*FLAN*eunosf*OU=Usuarios-Profesorado,OU=Profesorado,DC=ieselcaminas,DC=mylocal*GG-Profesorado*12345687-J*Profesorado*yes*Password123*0*eunosf@ieselcaminas.mylocal*L-V,08:00-21:00*W11-PROF-01
EVA*DORO TEO*DORO*TEO*edorot*OU=Usuarios-Profesorado,OU=Profesorado,DC=ieselcaminas,DC=mylocal*GG-Profesorado*12345688-K*Profesorado*yes*Password123*0*edorot@ieselcaminas.mylocal*L-V,08:00-21:00*W11-PROF-01
TUSO*ZIPI ZAPEL*ZIPI*ZAPEL*tzipiz*OU=Usuarios-Profesorado,OU=Profesorado,DC=ieselcaminas,DC=mylocal*GG-Profesorado*12345689-L*Profesorado*yes*Password123*0*tzipiz@ieselcaminas.mylocal*L-V,08:00-21:00*W11-PROF-01
ANA*RUE PERCEBE*RUE*PERCEBE*aruep*OU=Usuarios-Profesorado,OU=Profesorado,DC=ieselcaminas,DC=mylocal*GG-Profesorado*12345690-M*Profesorado*yes*Password123*0*aruep@ieselcaminas.mylocal*L-V,08:00-21:00*W11-PROF-01
JOSE*SHIN CHAN*SHIN*CHAN*jshinc*OU=Usuarios-Profesorado,OU=Profesorado,DC=ieselcaminas,DC=mylocal*GG-Profesorado*12345691-N*Profesorado*yes*Password123*0*jshinc@ieselcaminas.mylocal*L-V,08:00-21:00*W11-PROF-01
VICOR*NANO UCHE*NANO*UCHE*vnanou*OU=Usuarios-Ciclos,OU=Alumnado_Ciclos,DC=ieselcaminas,DC=mylocal*GG-Ciclos*12345692-O*Ciclos*yes*Password123*0*vnanou@ieselcaminas.mylocal*L-V,08:00-21:00*W11-CICLOS-01
TONI*TIN TIN*TIN*TIN*ttint*OU=Usuarios-Ciclos,OU=Alumnado_Ciclos,DC=ieselcaminas,DC=mylocal*GG-Ciclos*12345693-P*Ciclos*yes*Password123*0*ttint@ieselcaminas.mylocal*L-V,08:00-21:00*W11-CICLOS-01
XIMO*ABEJA MAYA*ABEJA*MAYA*xabejam*OU=Usuarios-Ciclos,OU=Alumnado_Ciclos,DC=ieselcaminas,DC=mylocal*GG-Ciclos*12345694-Q*Ciclos*yes*Password123*0*xabejam@ieselcaminas.mylocal*L-V,08:00-21:00*W11-CICLOS-01
JESU*COMI CLANDIA*COMI*CLANDIA*jcomic*OU=Usuarios-Ciclos,OU=Alumnado_Ciclos,DC=ieselcaminas,DC=mylocal*GG-Ciclos*12345695-R*Ciclos*yes*Password123*0*jcomic@ieselcaminas.mylocal*L-V,08:00-21:00*W11-CICLOS-01
LUIS*PRUEBA FINAL*PRUEBA*FINAL*lpruebaf*OU=Usuarios-Ciclos,OU=Alumnado_Ciclos,DC=ieselcaminas,DC=mylocal*GG-Ciclos*12345696-S*Ciclos*yes*Password123*0*lpruebaf@ieselcaminas.mylocal*L-V,08:00-21:00*W11-CICLOS-01
EVA*GARCIA ALAVES*GARCIA*ALAVES*egarciaa*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345717-N*ESOBAT*yes*Password123*0*egarciaa@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
PEDRO*PULGAR CITO*PULGAR*CITO*ppulgarc*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345718-A*ESOBAT*yes*Password123*0*ppulgarc@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
ANGI*FILE MON*FILE*MON*afilem*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*123457199-B*ESOBAT*yes*Password123*0*afilem@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
MARIA*SEGIS OLIVIO*SEGIS*OLIVIO*msegiso*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345720-C*ESOBAT*yes*Password123*0*msegiso@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
MANU*TOM JERRY*TOM*JERRY*mtomj*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345721-D*ESOBAT*yes*Password123*0*mtomj@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
GARGAMEL*ROMPE TECHOS*ROMPE*TECHOS*grompet*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345682-E*ESOBAT*yes*Password123*0*grompet@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
JUAN*RIGOBERTO PICAPORTE*RIGOBERTO*PICAPORTE*jrigobertop*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345683-F*ESOBAT*yes*Password123*0*jrigobertop@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
MERE*PANTERA ROSA*PANTERA*ROSA*mpanterar*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345684-G*ESOBAT*yes*Password123*0*mpanterar@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
TORPE*MORTA DELO*MORTA*DELO*tmortad*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345685-H*ESOBAT*yes*Password123*0*tmortad@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
ISA*GOTERA OTILIO*GOTERA*OTILIO*igoterao*OU=Usuarios-ESOBAT,OU=Alumnado_ESOBAT,DC=ieselcaminas,DC=mylocal*GG-ESOBAT*12345686-I*ESOBAT*yes*Password123*0*igoterao@ieselcaminas.mylocal*L-V,08:00-15:00*W11-ESO-01
